"","Cruise","Station","Type","mon.day.yr","hh.mm","Longitude","Latitude","WCDepth","SampleDepth","QF.0","TEMP","QF.1","PSAL","QF.2","DOXY.umol.l.","QF.3","DateTime"
"653252","ICES/35HTENQ82400","0099","B","9/18/1997","05:35",-9.31630000000001,36.0067,4164,1900,0,4.8442,0,35.2174,0,NA,NA,1997-09-18 05:35:00
"2739017","ICES/29CSECOS491 ","0051","B","5/3/1991","13:15",-9.18920000000003,41.912,125,55,0,12.8,0,35.722,0,NA,NA,1991-05-03 13:15:00
"808079","ICES/35TTENQ630d4","25F0","B","5/25/2000","13:07",7.8573,43.4228,0,236,0,13.35,0,38.53,0,NA,NA,2000-05-25 13:07:00
"2361440","ICES/58JHENQ679k ","0384","B","4/19/2005","06:40",0.234,56.9995,83,2,0,7.15,0,35.0765,0,NA,NA,2005-04-19 06:40:00
"649231","ICES/35HTENQ82400","0029","B","9/12/1997","21:32",-7.36329999999998,35.9003,1001,50,0,17.1309,0,36.3974,0,NA,NA,1997-09-12 21:32:00
"2098466","ICES/58MSENQ679  ","0018","B","1/24/1998","10:28",0.2503,60.7498,136,85,0,9.368,0,35.2653,0,NA,NA,1998-01-24 10:28:00
"668027","ICES/35TTENQ630d4","0027","B","8/25/1997","07:44",4.85,43.2972,73,15,0,24.1008,0,37.8679,0,NA,NA,1997-08-25 07:44:00
"2404053","ICES/58AAENQ679q ","0231","B","3/2/2007","09:02",6.541,61.1297,750,75,0,9.109,0,34.7546,0,NA,NA,2007-03-02 09:02:00
"832247","ICES/35HTENQ630k0","0257","B","5/29/2002","21:19",-3.02080000000001,47.0837,54,30,0,10.959,0,35.101,0,NA,NA,2002-05-29 21:19:00
"690454","ICES/35TTENQ630d4","0186","B","9/8/1997","06:56",5.2,43,1113,597,0,13.44,0,38.55,0,NA,NA,1997-09-08 06:56:00
"2387720","ICES/58JHENQ679n ","0393","B","4/28/2006","01:47",5.2767,57.0195,56,35,0,5.665,0,35.1083,0,NA,NA,2006-04-28 01:47:00
"3043988","ICES/74CH        ","3556","B","9/25/1990","02:57",2.6702,51.468,34,2,0,16.53,0,34.657,0,NA,NA,1990-09-25 02:57:00
"2352242","ICES/58GSENQ679k ","0168","B","3/22/2005","23:26",-9.49880000000002,56.5853,1326,15,0,10.242,0,35.4429,0,NA,NA,2005-03-22 23:26:00
"583038","ICES/35HTENQ630u ","0080","B","11/5/1996","14:24",-9.48880000000003,44.6975,4924,300,0,11.581,0,35.625,0,221.07,0,1996-11-05 14:24:00
"895801","ICES/35TTENQ630n4","3220","B","6/12/2004","00:27",5.25,43.0833,0,23,0,15.35,0,38.04,0,261.27,0,2004-06-12 00:27:00
"251247","ICES/26MHENQ1047 ","0018","B","6/17/2000","19:54",-3.94999999999999,61.5333,1200,120,0,7.2734,0,35.221,0,NA,NA,2000-06-17 19:54:00
"3375827","ICES/74SCENQ716r ","0204","B","5/19/2004","19:43",-9.22000000000003,60.2752,1762,95,0,9.14,0,35.349,0,NA,NA,2004-05-19 19:43:00
"220036","ICES/26MHENQ1047 ","0035","B","11/8/1998","17:10",-6.08330000000001,62.3333,78,60,0,8.399,0,35.1285,0,NA,NA,1998-11-08 17:10:00
"1871130","ICES/58GSENQ484  ","1254","B","11/18/1992","17:13",1.798,56.998,93,70,0,8.136,0,35.0528,0,NA,NA,1992-11-18 17:13:00
"3064165","ICES/74CHENQ413CH","0011","B","7/2/1991","10:59",-8.50170000000003,56.8817,131,71,0,9.271,0,35.394,0,NA,NA,1991-07-02 10:59:00
"176080","ICES/26DAENQ685  ","2566","B","4/12/1997","19:27",-11.86,62.3758,872,41,0,7.98,0,35.174,0,NA,NA,1997-04-12 19:27:00
"3158690","ICES/74CHSES620a ","7252","B","8/26/1995","12:32",-9.6617,56.4568,1523,55,0,11.18,0,35.361,0,263.05,0,1995-08-26 12:32:00
"1033633","ICES/06UTENQ410  ","0012","B","12/10/1991","13:10",7.8917,54.1517,52,5,0,7.99,0,34.13,0,NA,NA,1991-12-10 13:10:00
"3452568","ICES/74SCENQ716ac","0337","B","8/7/2008","13:06",0.4605,56.7835,98,40,0,7.99,0,35.029,0,NA,NA,2008-08-07 13:06:00
"2231056","ICES/58GDENQ611d ","0245","B","6/8/2002","12:09",9.7167,59.0833,100,75,0,6.238,0,34.367,0,265.73,0,2002-06-08 12:09:00
